carrier,flight,origin,dest,name
B6,361,LGA,PBI,JetBlue Airways
UA,279,EWR,PHX,United Air Lines Inc.
UA,204,EWR,ORD,United Air Lines Inc.
B6,918,JFK,BOS,JetBlue Airways
US,1607,LGA,PHL,US Airways Inc.
US,449,EWR,CLT,US Airways Inc.
UA,1731,EWR,LAS,United Air Lines Inc.
DL,1935,LGA,TPA,Delta Air Lines Inc.
UA,1244,EWR,SJU,United Air Lines Inc.
EV,4672,EWR,STL,ExpressJet Airlines Inc.
B6,135,JFK,RSW,JetBlue Airways
EV,5166,LGA,BNA,ExpressJet Airlines Inc.
WN,3928,EWR,HOU,Southwest Airlines Co.
EV,4318,EWR,CHS,ExpressJet Airlines Inc.
US,1895,EWR,CLT,US Airways Inc.
MQ,3461,LGA,BNA,Envoy Air
9E,2907,JFK,BUF,Endeavor Air Inc.
EV,4471,EWR,CLT,ExpressJet Airlines Inc.
US,2079,LGA,CLT,US Airways Inc.
UA,503,EWR,AUS,United Air Lines Inc.
UA,1058,EWR,SFO,United Air Lines Inc.
DL,1109,LGA,TPA,Delta Air Lines Inc.
AA,883,EWR,DFW,American Airlines Inc.
AA,575,JFK,EGE,American Airlines Inc.
B6,675,JFK,MSY,JetBlue Airways
9E,3927,JFK,BWI,Endeavor Air Inc.
WN,1725,LGA,MDW,Southwest Airlines Co.
WN,764,LGA,STL,Southwest Airlines Co.
B6,547,EWR,PBI,JetBlue Airways
FL,620,LGA,ATL,AirTran Airways Corporation
YV,3771,LGA,IAD,Mesa Airlines Inc.
B6,2002,JFK,BUF,JetBlue Airways
EV,4594,EWR,RDU,ExpressJet Airlines Inc.
UA,1289,EWR,SFO,United Air Lines Inc.
9E,3542,JFK,MSP,Endeavor Air Inc.
US,2181,LGA,DCA,US Airways Inc.
AA,67,JFK,SAN,American Airlines Inc.
UA,1143,EWR,PBI,United Air Lines Inc.
EV,4235,EWR,IND,ExpressJet Airlines Inc.
DL,1147,LGA,ATL,Delta Air Lines Inc.
UA,1701,EWR,FLL,United Air Lines Inc.
EV,4434,EWR,MHT,ExpressJet Airlines Inc.
DL,31,JFK,SLC,Delta Air Lines Inc.
9E,3525,JFK,ORD,Endeavor Air Inc.
B6,983,LGA,TPA,JetBlue Airways
EV,4628,EWR,STL,ExpressJet Airlines Inc.
US,1739,LGA,PHL,US Airways Inc.
EV,5752,LGA,IAD,ExpressJet Airlines Inc.
9E,3466,JFK,DCA,Endeavor Air Inc.
9E,4277,JFK,ORF,Endeavor Air Inc.
MQ,4658,LGA,ATL,Envoy Air
EV,5712,JFK,IAD,ExpressJet Airlines Inc.
AA,327,LGA,ORD,American Airlines Inc.
DL,1174,LGA,PBI,Delta Air Lines Inc.
UA,1695,EWR,IAH,United Air Lines Inc.
UA,1744,LGA,IAH,United Air Lines Inc.
US,487,JFK,CLT,US Airways Inc.
FL,353,LGA,CAK,AirTran Airways Corporation
WN,1696,EWR,STL,Southwest Airlines Co.
US,425,JFK,CLT,US Airways Inc.
US,855,EWR,CLT,US Airways Inc.
B6,795,JFK,AUS,JetBlue Airways
DL,1779,LGA,FLL,Delta Air Lines Inc.
DL,914,LGA,DEN,Delta Air Lines Inc.
MQ,3591,LGA,RDU,Envoy Air
WN,921,LGA,DEN,Southwest Airlines Co.
EV,4543,EWR,DSM,ExpressJet Airlines Inc.
B6,1018,JFK,BOS,JetBlue Airways
9E,3879,EWR,CVG,Endeavor Air Inc.
EV,4662,EWR,ORF,ExpressJet Airlines Inc.
DL,1685,LGA,MCO,Delta Air Lines Inc.
DL,947,LGA,ATL,Delta Air Lines Inc.
B6,225,JFK,TPA,JetBlue Airways
UA,397,JFK,SFO,United Air Lines Inc.
DL,1185,EWR,SLC,Delta Air Lines Inc.
UA,1462,EWR,SFO,United Air Lines Inc.
AA,33,JFK,LAX,American Airlines Inc.
VX,27,JFK,SFO,Virgin America
DL,1705,LGA,MSY,Delta Air Lines Inc.
VX,399,JFK,LAX,Virgin America
9E,3341,JFK,DTW,Endeavor Air Inc.
AA,331,LGA,ORD,American Airlines Inc.
B6,165,JFK,PDX,JetBlue Airways
EV,4153,EWR,CLT,ExpressJet Airlines Inc.
B6,83,JFK,MCO,JetBlue Airways
B6,705,JFK,SJU,JetBlue Airways
UA,1244,EWR,SJU,United Air Lines Inc.
UA,1740,EWR,IAH,United Air Lines Inc.
EV,4495,EWR,SAV,ExpressJet Airlines Inc.
B6,271,LGA,FLL,JetBlue Airways
MQ,3985,JFK,CVG,Envoy Air
AA,117,JFK,LAX,American Airlines Inc.
DL,985,JFK,BOS,Delta Air Lines Inc.
B6,1063,JFK,AUS,JetBlue Airways
MQ,4555,LGA,CMH,Envoy Air
DL,2019,LGA,MSP,Delta Air Lines Inc.
DL,1164,JFK,BOS,Delta Air Lines Inc.
UA,1162,EWR,DFW,United Air Lines Inc.
B6,30,JFK,ROC,JetBlue Airways
AA,3,JFK,LAX,American Airlines Inc.
MQ,4662,LGA,ATL,Envoy Air
B6,461,LGA,PBI,JetBlue Airways
US,2167,LGA,DCA,US Airways Inc.
MQ,3367,LGA,XNA,Envoy Air
AA,257,JFK,LAS,American Airlines Inc.
